Datum,MunicipalityCode,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal,AantalCumulatief,population,populationMunicipalityName,infectionsPerPopulation,infectionsPer1000,infectionsPer10000
2020-02-27,GM0118,118,Hoogeveen,Drenthe,22,,0,55964,Hoogeveen,0,0,0
2020-02-27,GM0119,119,Meppel,Drenthe,22,,0,34749,Meppel,0,0,0
2020-02-27,GM0141,141,Almelo,Overijssel,23,,0,73164,Almelo,0,0,0
2020-02-27,GM0147,147,Borne,Overijssel,23,,0,24095,Borne,0,0,0
2020-02-27,GM0148,148,Dalfsen,Overijssel,23,,0,29182,Dalfsen,0,0,0
2020-02-27,GM0150,150,Deventer,Overijssel,23,,0,101553,Deventer,0,0,0
2020-02-27,GM0153,153,Enschede,Overijssel,23,,0,160341,Enschede,0,0,0
2020-02-27,GM0158,158,Haaksbergen,Overijssel,23,,0,24257,Haaksbergen,0,0,0
2020-02-27,GM0160,160,Hardenberg,Overijssel,23,,0,61890,Hardenberg,0,0,0
2020-02-27,GM0163,163,Hellendoorn,Overijssel,23,,0,35998,Hellendoorn,0,0,0
2020-02-27,GM0164,164,Hengelo,Overijssel,23,,0,81531,Hengelo,0,0,0
2020-02-27,GM0166,166,Kampen,Overijssel,23,,0,54902,Kampen,0,0,0
2020-02-27,GM0168,168,Losser,Overijssel,23,,0,23142,Losser,0,0,0
2020-02-27,GM0171,171,Noordoostpolder,Flevoland,24,,0,48199,Noordoostpolder,0,0,0
2020-02-27,GM0173,173,Oldenzaal,Overijssel,23,,0,31781,Oldenzaal,0,0,0
2020-02-27,GM0175,175,Ommen,Overijssel,23,,0,18459,Ommen,0,0,0
2020-02-27,GM0177,177,Raalte,Overijssel,23,,0,38166,Raalte,0,0,0
2020-02-27,GM0180,180,Staphorst,Overijssel,23,,0,17278,Staphorst,0,0,0
2020-02-27,GM0183,183,Tubbergen,Overijssel,23,,0,21359,Tubbergen,0,0,0
2020-02-27,GM0184,184,Urk,Flevoland,24,,0,21507,Urk,0,0,0
2020-02-27,GM0189,189,Wierden,Overijssel,23,,0,24677,Wierden,0,0,0
2020-02-27,GM0193,193,Zwolle,Overijssel,23,,0,130943,Zwolle,0,0,0
2020-02-27,GM0197,197,Aalten,Gelderland,25,,0,27122,Aalten,0,0,0
2020-02-27,GM0200,200,Apeldoorn,Gelderland,25,,0,165741,Apeldoorn,0,0,0
2020-02-27,GM0202,202,Arnhem,Gelderland,25,,0,164319,Arnhem,0,0,0
2020-02-27,GM0203,203,Barneveld,Gelderland,25,,0,60652,Barneveld,0,0,0
2020-02-27,GM0209,209,Beuningen,Gelderland,25,,0,26242,Beuningen,0,0,0
2020-02-27,GM0213,213,Brummen,Gelderland,25,,0,20866,Brummen,0,0,0
2020-02-27,GM0214,214,Buren,Gelderland,25,,0,27237,Buren,0,0,0
2020-02-27,GM0216,216,Culemborg,Gelderland,25,,0,29320,Culemborg,0,0,0
2020-02-27,GM0221,221,Doesburg,Gelderland,25,,0,11037,Doesburg,0,0,0
2020-02-27,GM0222,222,Doetinchem,Gelderland,25,,0,58593,Doetinchem,0,0,0
2020-02-27,GM0225,225,Druten,Gelderland,25,,0,19191,Druten,0,0,0
2020-02-27,GM0226,226,Duiven,Gelderland,25,,0,24908,Duiven,0,0,0
2020-02-27,GM0228,228,Ede,Gelderland,25,,0,120101,Ede,0,0,0
2020-02-27,GM0230,230,Elburg,Gelderland,25,,0,23728,Elburg,0,0,0
2020-02-27,GM0232,232,Epe,Gelderland,25,,0,33218,Epe,0,0,0
2020-02-27,GM0233,233,Ermelo,Gelderland,25,,0,27268,Ermelo,0,0,0
2020-02-27,GM0243,243,Harderwijk,Gelderland,25,,0,48824,Harderwijk,0,0,0
2020-02-27,GM0244,244,Hattem,Gelderland,25,,0,12312,Hattem,0,0,0
2020-02-27,GM0246,246,Heerde,Gelderland,25,,0,19038,Heerde,0,0,0
2020-02-27,GM0252,252,Heumen,Gelderland,25,,0,16918,Heumen,0,0,0
2020-02-27,GM0262,262,Lochem,Gelderland,25,,0,34086,Lochem,0,0,0
2020-02-27,GM0263,263,Maasdriel,Gelderland,25,,0,25618,Maasdriel,0,0,0
2020-02-27,GM0267,267,Nijkerk,Gelderland,25,,0,44436,Nijkerk,0,0,0
2020-02-27,GM0268,268,Nijmegen,Gelderland,25,,0,179494,Nijmegen,0,0,0
2020-02-27,GM0269,269,Oldebroek,Gelderland,25,,0,23974,Oldebroek,0,0,0
2020-02-27,GM0273,273,Putten,Gelderland,25,,0,24627,Putten,0,0,0
2020-02-27,GM0274,274,Renkum,Gelderland,25,,0,31320,Renkum,0,0,0
2020-02-27,GM0275,275,Rheden,Gelderland,25,,0,43458,Rheden,0,0,0
2020-02-27,GM0277,277,Rozendaal,Gelderland,25,,0,1755,Rozendaal,0,0,0
2020-02-27,GM0279,279,Scherpenzeel,Gelderland,25,,0,10317,Scherpenzeel,0,0,0
2020-02-27,GM0281,281,Tiel,Gelderland,25,,0,42294,Tiel,0,0,0
2020-02-27,GM0285,285,Voorst,Gelderland,25,,0,25019,Voorst,0,0,0
2020-02-27,GM0289,289,Wageningen,Gelderland,25,,0,40056,Wageningen,0,0,0
2020-02-27,GM0293,293,Westervoort,Gelderland,25,,0,14943,Westervoort,0,0,0
2020-02-27,GM0294,294,Winterswijk,Gelderland,25,,0,29144,Winterswijk,0,0,0
2020-02-27,GM0296,296,Wijchen,Gelderland,25,,0,41302,Wijchen,0,0,0
2020-02-27,GM0297,297,Zaltbommel,Gelderland,25,,0,30041,Zaltbommel,0,0,0
2020-02-27,GM0299,299,Zevenaar,Gelderland,25,,0,44676,Zevenaar,0,0,0
2020-02-27,GM0301,301,Zutphen,Gelderland,25,,0,48322,Zutphen,0,0,0
2020-02-27,GM0302,302,Nunspeet,Gelderland,25,,0,28233,Nunspeet,0,0,0
2020-02-27,GM0303,303,Dronten,Flevoland,24,,0,43026,Dronten,0,0,0
2020-02-27,GM0307,307,Amersfoort,Utrecht,26,,0,158836,Amersfoort,0,0,0
2020-02-27,GM0308,308,Baarn,Utrecht,26,,0,24881,Baarn,0,0,0
2020-02-27,GM0310,310,De Bilt,Utrecht,26,,0,43486,De Bilt,0,0,0
2020-02-27,GM0312,312,Bunnik,Utrecht,26,,0,15684,Bunnik,0,0,0
2020-02-27,GM0313,313,Bunschoten,Utrecht,26,,0,22323,Bunschoten,0,0,0
2020-02-27,GM0317,317,Eemnes,Utrecht,26,,0,9462,Eemnes,0,0,0
2020-02-27,GM0321,321,Houten,Utrecht,26,,0,50305,Houten,0,0,0
2020-02-27,GM0327,327,Leusden,Utrecht,26,,0,30756,Leusden,0,0,0
2020-02-27,GM0331,331,Lopik,Utrecht,26,,0,14540,Lopik,0,0,0
2020-02-27,GM0335,335,Montfoort,Utrecht,26,,0,13813,Montfoort,0,0,0
2020-02-27,GM0339,339,Renswoude,Utrecht,26,,0,5637,Renswoude,0,0,0
2020-02-27,GM0340,340,Rhenen,Utrecht,26,,0,20253,Rhenen,0,0,0
2020-02-27,GM0342,342,Soest,Utrecht,26,,0,47104,Soest,0,0,0
2020-02-27,GM0344,344,Utrecht,Utrecht,26,,0,362715,Utrecht,0,0,0
2020-02-27,GM0345,345,Veenendaal,Utrecht,26,,0,67789,Veenendaal,0,0,0
2020-02-27,GM0351,351,Woudenberg,Utrecht,26,,0,13921,Woudenberg,0,0,0
2020-02-27,GM0352,352,Wijk bij Duurstede,Utrecht,26,,0,23942,Wijk bij Duurstede,0,0,0
2020-02-27,GM0353,353,IJsselstein,Utrecht,26,,0,33443,IJsselstein,0,0,0
2020-02-27,GM0355,355,Zeist,Utrecht,26,,0,66019,Zeist,0,0,0
2020-02-27,GM0356,356,Nieuwegein,Utrecht,26,,0,64529,Nieuwegein,0,0,0
2020-02-27,GM0358,358,Aalsmeer,Noord-Holland,27,,0,32532,Aalsmeer,0,0,0
2020-02-27,GM0361,361,Alkmaar,Noord-Holland,27,,0,110834,Alkmaar,0,0,0
2020-02-27,GM0362,362,Amstelveen,Noord-Holland,27,,0,92509,Amstelveen,0,0,0
2020-02-27,GM0363,363,Amsterdam,Noord-Holland,27,,0,885941,Amsterdam,0,0,0
2020-02-27,GM0370,370,Beemster,Noord-Holland,27,,0,,,,,
2020-02-27,GM0373,373,Bergen (NH.),Noord-Holland,27,,0,29756,Bergen (NH.),0,0,0
2020-02-27,GM0375,375,Beverwijk,Noord-Holland,27,,0,42133,Beverwijk,0,0,0
2020-02-27,GM0376,376,Blaricum,Noord-Holland,27,,0,12385,Blaricum,0,0,0
2020-02-27,GM0377,377,Bloemendaal,Noord-Holland,27,,0,23679,Bloemendaal,0,0,0
2020-02-27,GM0383,383,Castricum,Noord-Holland,27,,0,36265,Castricum,0,0,0
2020-02-27,GM0384,384,Diemen,Noord-Holland,27,,0,32011,Diemen,0,0,0
2020-02-27,GM0385,385,Edam-Volendam,Noord-Holland,27,,0,36439,Edam-Volendam,0,0,0
2020-02-27,GM0388,388,Enkhuizen,Noord-Holland,27,,0,18652,Enkhuizen,0,0,0
2020-02-27,GM0392,392,Haarlem,Noord-Holland,27,,0,163065,Haarlem,0,0,0
2020-02-27,GM0394,394,Haarlemmermeer,Noord-Holland,27,,0,159342,Haarlemmermeer,0,0,0
2020-02-27,GM0396,396,Heemskerk,Noord-Holland,27,,0,39145,Heemskerk,0,0,0
2020-02-27,GM0397,397,Heemstede,Noord-Holland,27,,0,27578,Heemstede,0,0,0
2020-02-27,GM0398,398,Heerhugowaard,Noord-Holland,27,,0,,,,,
2020-02-27,GM0399,399,Heiloo,Noord-Holland,27,,0,24430,Heiloo,0,0,0
2020-02-27,GM0400,400,Den Helder,Noord-Holland,27,,0,56356,Den Helder,0,0,0
2020-02-27,GM0402,402,Hilversum,Noord-Holland,27,,0,91840,Hilversum,0,0,0
2020-02-27,GM0405,405,Hoorn,Noord-Holland,27,,0,74397,Hoorn,0,0,0
2020-02-27,GM0406,406,Huizen,Noord-Holland,27,,0,40962,Huizen,0,0,0
2020-02-27,GM0415,415,Landsmeer,Noord-Holland,27,,0,11565,Landsmeer,0,0,0
2020-02-27,GM0416,416,Langedijk,Noord-Holland,27,,0,,,,,
2020-02-27,GM0417,417,Laren,Noord-Holland,27,,0,11571,Laren,0,0,0
2020-02-27,GM0420,420,Medemblik,Noord-Holland,27,,0,45478,Medemblik,0,0,0
2020-02-27,GM0431,431,Oostzaan,Noord-Holland,27,,0,9665,Oostzaan,0,0,0
2020-02-27,GM0432,432,Opmeer,Noord-Holland,27,,0,12126,Opmeer,0,0,0
2020-02-27,GM0437,437,Ouder-Amstel,Noord-Holland,27,,0,14187,Ouder-Amstel,0,0,0
2020-02-27,GM0439,439,Purmerend,Noord-Holland,27,,0,92504,Purmerend,0,0,0
2020-02-27,GM0441,441,Schagen,Noord-Holland,27,,0,46856,Schagen,0,0,0
2020-02-27,GM0448,448,Texel,Noord-Holland,27,,0,13690,Texel,0,0,0
2020-02-27,GM0450,450,Uitgeest,Noord-Holland,27,,0,13534,Uitgeest,0,0,0
2020-02-27,GM0451,451,Uithoorn,Noord-Holland,27,,0,31004,Uithoorn,0,0,0
2020-02-27,GM0453,453,Velsen,Noord-Holland,27,,0,68452,Velsen,0,0,0
2020-02-27,GM0457,457,Weesp,Noord-Holland,27,,0,,,,,
2020-02-27,GM0473,473,Zandvoort,Noord-Holland,27,,0,17161,Zandvoort,0,0,0
2020-02-27,GM0479,479,Zaanstad,Noord-Holland,27,,0,157375,Zaanstad,0,0,0
2020-02-27,GM0482,482,Alblasserdam,Zuid-Holland,28,,0,20129,Alblasserdam,0,0,0
2020-02-27,GM0484,484,Alphen aan den Rijn,Zuid-Holland,28,,0,113026,Alphen aan den Rijn,0,0,0
2020-02-27,GM0489,489,Barendrecht,Zuid-Holland,28,,0,48712,Barendrecht,0,0,0
2020-02-27,GM0498,498,Drechterland,Noord-Holland,27,,0,20006,Drechterland,0,0,0
2020-02-27,GM0501,501,Brielle,Zuid-Holland,28,,0,17750,Brielle,0,0,0
2020-02-27,GM0502,502,Capelle aan den IJssel,Zuid-Holland,28,,0,67281,Capelle aan den IJssel,0,0,0
2020-02-27,GM0503,503,Delft,Zuid-Holland,28,,0,104638,Delft,0,0,0
2020-02-27,GM0505,505,Dordrecht,Zuid-Holland,28,,0,119589,Dordrecht,0,0,0
2020-02-27,GM0512,512,Gorinchem,Zuid-Holland,28,,0,37858,Gorinchem,0,0,0
2020-02-27,GM0513,513,Gouda,Zuid-Holland,28,,0,74131,Gouda,0,0,0
2020-02-27,GM0518,518,'s-Gravenhage,Zuid-Holland,28,,0,553769,'s-Gravenhage,0,0,0
2020-02-27,GM0523,523,Hardinxveld-Giessendam,Zuid-Holland,28,,0,18501,Hardinxveld-Giessendam,0,0,0
2020-02-27,GM0530,530,Hellevoetsluis,Zuid-Holland,28,,0,40620,Hellevoetsluis,0,0,0
2020-02-27,GM0531,531,Hendrik-Ido-Ambacht,Zuid-Holland,28,,0,31767,Hendrik-Ido-Ambacht,0,0,0
2020-02-27,GM0532,532,Stede Broec,Noord-Holland,27,,0,21943,Stede Broec,0,0,0
2020-02-27,GM0534,534,Hillegom,Zuid-Holland,28,,0,22295,Hillegom,0,0,0
2020-02-27,GM0537,537,Katwijk,Zuid-Holland,28,,0,66160,Katwijk,0,0,0
2020-02-27,GM0542,542,Krimpen aan den IJssel,Zuid-Holland,28,,0,29431,Krimpen aan den IJssel,0,0,0
2020-02-27,GM0546,546,Leiden,Zuid-Holland,28,,0,125304,Leiden,0,0,0
2020-02-27,GM0547,547,Leiderdorp,Zuid-Holland,28,,0,27443,Leiderdorp,0,0,0
2020-02-27,GM0553,553,Lisse,Zuid-Holland,28,,0,23005,Lisse,0,0,0
2020-02-27,GM0556,556,Maassluis,Zuid-Holland,28,,0,34408,Maassluis,0,0,0
2020-02-27,GM0569,569,Nieuwkoop,Zuid-Holland,28,,0,29284,Nieuwkoop,0,0,0
2020-02-27,GM0575,575,Noordwijk,Zuid-Holland,28,,0,44390,Noordwijk,0,0,0
2020-02-27,GM0579,579,Oegstgeest,Zuid-Holland,28,,0,25534,Oegstgeest,0,0,0
2020-02-27,GM0589,589,Oudewater,Utrecht,26,,0,10166,Oudewater,0,0,0
2020-02-27,GM0590,590,Papendrecht,Zuid-Holland,28,,0,32151,Papendrecht,0,0,0
2020-02-27,GM0597,597,Ridderkerk,Zuid-Holland,28,,0,47058,Ridderkerk,0,0,0
2020-02-27,GM0599,599,Rotterdam,Zuid-Holland,28,,0,656338,Rotterdam,0,0,0
2020-02-27,GM0603,603,Rijswijk,Zuid-Holland,28,,0,57220,Rijswijk,0,0,0
2020-02-27,GM0606,606,Schiedam,Zuid-Holland,28,,0,79759,Schiedam,0,0,0
2020-02-27,GM0610,610,Sliedrecht,Zuid-Holland,28,,0,25942,Sliedrecht,0,0,0
2020-02-27,GM0613,613,Albrandswaard,Zuid-Holland,28,,0,25990,Albrandswaard,0,0,0
2020-02-27,GM0614,614,Westvoorne,Zuid-Holland,28,,0,14950,Westvoorne,0,0,0
2020-02-27,GM0622,622,Vlaardingen,Zuid-Holland,28,,0,74119,Vlaardingen,0,0,0
2020-02-27,GM0626,626,Voorschoten,Zuid-Holland,28,,0,25560,Voorschoten,0,0,0
2020-02-27,GM0627,627,Waddinxveen,Zuid-Holland,28,,0,31451,Waddinxveen,0,0,0
2020-02-27,GM0629,629,Wassenaar,Zuid-Holland,28,,0,27252,Wassenaar,0,0,0
2020-02-27,GM0632,632,Woerden,Utrecht,26,,0,52951,Woerden,0,0,0
2020-02-27,GM0637,637,Zoetermeer,Zuid-Holland,28,,0,125840,Zoetermeer,0,0,0
2020-02-27,GM0638,638,Zoeterwoude,Zuid-Holland,28,,0,9320,Zoeterwoude,0,0,0
2020-02-27,GM0642,642,Zwijndrecht,Zuid-Holland,28,,0,44728,Zwijndrecht,0,0,0
2020-02-27,GM0654,654,Borsele,Zeeland,29,,0,22837,Borsele,0,0,0
2020-02-27,GM0664,664,Goes,Zeeland,29,,0,39079,Goes,0,0,0
2020-02-27,GM0668,668,West Maas en Waal,Gelderland,25,,0,19673,West Maas en Waal,0,0,0
2020-02-27,GM0677,677,Hulst,Zeeland,29,,0,27552,Hulst,0,0,0
2020-02-27,GM0678,678,Kapelle,Zeeland,29,,0,13006,Kapelle,0,0,0
2020-02-27,GM0687,687,Middelburg,Zeeland,29,,0,49248,Middelburg,0,0,0
2020-02-27,GM0703,703,Reimerswaal,Zeeland,29,,0,22916,Reimerswaal,0,0,0
2020-02-27,GM0715,715,Terneuzen,Zeeland,29,,0,54509,Terneuzen,0,0,0
2020-02-27,GM0716,716,Tholen,Zeeland,29,,0,26442,Tholen,0,0,0
2020-02-27,GM0717,717,Veere,Zeeland,29,,0,21816,Veere,0,0,0
2020-02-27,GM0718,718,Vlissingen,Zeeland,29,,0,44541,Vlissingen,0,0,0
2020-02-27,GM0736,736,De Ronde Venen,Utrecht,26,,0,45063,De Ronde Venen,0,0,0
2020-02-27,GM0737,737,Tytsjerksteradiel,Friesland,21,,0,32287,Tytsjerksteradiel,0,0,0
2020-02-27,GM0743,743,Asten,Noord-Brabant,30,,0,17071,Asten,0,0,0
2020-02-27,GM0744,744,Baarle-Nassau,Noord-Brabant,30,,0,6953,Baarle-Nassau,0,0,0
2020-02-27,GM0748,748,Bergen op Zoom,Noord-Brabant,30,,0,67959,Bergen op Zoom,0,0,0
2020-02-27,GM0753,753,Best,Noord-Brabant,30,,0,30658,Best,0,0,0
2020-02-27,GM0755,755,Boekel,Noord-Brabant,30,,0,11060,Boekel,0,0,0
2020-02-27,GM0756,756,Boxmeer,Noord-Brabant,30,,0,,,,,
2020-02-27,GM0757,757,Boxtel,Noord-Brabant,30,,0,33116,Boxtel,0,0,0
2020-02-27,GM0758,758,Breda,Noord-Brabant,30,,0,184841,Breda,0,0,0
2020-02-27,GM0762,762,Deurne,Noord-Brabant,30,,0,32597,Deurne,0,0,0
2020-02-27,GM0765,765,Pekela,Groningen,20,,0,12188,Pekela,0,0,0
2020-02-27,GM0766,766,Dongen,Noord-Brabant,30,,0,26604,Dongen,0,0,0
2020-02-27,GM0770,770,Eersel,Noord-Brabant,30,,0,19852,Eersel,0,0,0
2020-02-27,GM0772,772,Eindhoven,Noord-Brabant,30,,0,238657,Eindhoven,0,0,0
2020-02-27,GM0777,777,Etten-Leur,Noord-Brabant,30,,0,44165,Etten-Leur,0,0,0
2020-02-27,GM0779,779,Geertruidenberg,Noord-Brabant,30,,0,21924,Geertruidenberg,0,0,0
2020-02-27,GM0784,784,Gilze en Rijen,Noord-Brabant,30,,0,26545,Gilze en Rijen,0,0,0
2020-02-27,GM0785,785,Goirle,Noord-Brabant,30,,0,24010,Goirle,0,0,0
2020-02-27,GM0786,786,Grave,Noord-Brabant,30,,0,,,,,
2020-02-27,GM0788,788,Haaren,Noord-Brabant,30,,0,,,,,
2020-02-27,GM0794,794,Helmond,Noord-Brabant,30,,0,93676,Helmond,0,0,0
2020-02-27,GM0796,796,'s-Hertogenbosch,Noord-Brabant,30,,0,156697,'s-Hertogenbosch,0,0,0
2020-02-27,GM0797,797,Heusden,Noord-Brabant,30,,0,45576,Heusden,0,0,0
2020-02-27,GM0798,798,Hilvarenbeek,Noord-Brabant,30,,0,15819,Hilvarenbeek,0,0,0
2020-02-27,GM0809,809,Loon op Zand,Noord-Brabant,30,,0,23782,Loon op Zand,0,0,0
2020-02-27,GM0815,815,Mill en Sint Hubert,Noord-Brabant,30,,0,,,,,
2020-02-27,GM0823,823,Oirschot,Noord-Brabant,30,,0,19083,Oirschot,0,0,0
2020-02-27,GM0824,824,Oisterwijk,Noord-Brabant,30,,0,32534,Oisterwijk,0,0,0
2020-02-27,GM0826,826,Oosterhout,Noord-Brabant,30,,0,56578,Oosterhout,0,0,0
2020-02-27,GM0828,828,Oss,Noord-Brabant,30,,0,93456,Oss,0,0,0
2020-02-27,GM0840,840,Rucphen,Noord-Brabant,30,,0,23361,Rucphen,0,0,0
2020-02-27,GM0845,845,Sint-Michielsgestel,Noord-Brabant,30,,0,29743,Sint-Michielsgestel,0,0,0
2020-02-27,GM0847,847,Someren,Noord-Brabant,30,,0,19742,Someren,0,0,0
2020-02-27,GM0848,848,Son en Breugel,Noord-Brabant,30,,0,17812,Son en Breugel,0,0,0
2020-02-27,GM0851,851,Steenbergen,Noord-Brabant,30,,0,24328,Steenbergen,0,0,0
2020-02-27,GM0852,852,Waterland,Noord-Holland,27,,0,17347,Waterland,0,0,0
2020-02-27,GM0855,855,Tilburg,Noord-Brabant,30,,1,225050,Tilburg,0.000004443457009553433,0.004443457009553433,0.04443457009553433
2020-02-27,GM0856,856,Uden,Noord-Brabant,30,,0,,,,,
2020-02-27,GM0858,858,Valkenswaard,Noord-Brabant,30,,0,31275,Valkenswaard,0,0,0
2020-02-27,GM0861,861,Veldhoven,Noord-Brabant,30,,0,45888,Veldhoven,0,0,0
2020-02-27,GM0865,865,Vught,Noord-Brabant,30,,0,31853,Vught,0,0,0
2020-02-27,GM0866,866,Waalre,Noord-Brabant,30,,0,17727,Waalre,0,0,0
2020-02-27,GM0867,867,Waalwijk,Noord-Brabant,30,,0,49357,Waalwijk,0,0,0
2020-02-27,GM0873,873,Woensdrecht,Noord-Brabant,30,,0,22099,Woensdrecht,0,0,0
2020-02-27,GM0879,879,Zundert,Noord-Brabant,30,,0,22202,Zundert,0,0,0
2020-02-27,GM0880,880,Wormerland,Noord-Holland,27,,0,16374,Wormerland,0,0,0
2020-02-27,GM0882,882,Landgraaf,Limburg,31,,0,37026,Landgraaf,0,0,0
2020-02-27,GM0888,888,Beek,Limburg,31,,0,15809,Beek,0,0,0
2020-02-27,GM0889,889,Beesel,Limburg,31,,0,13396,Beesel,0,0,0
2020-02-27,GM0893,893,Bergen (L.),Limburg,31,,0,13079,Bergen (L.),0,0,0
2020-02-27,GM0899,899,Brunssum,Limburg,31,,0,27684,Brunssum,0,0,0
2020-02-27,GM0907,907,Gennep,Limburg,31,,0,17199,Gennep,0,0,0
2020-02-27,GM0917,917,Heerlen,Limburg,31,,0,86900,Heerlen,0,0,0
2020-02-27,GM0928,928,Kerkrade,Limburg,31,,0,45255,Kerkrade,0,0,0
2020-02-27,GM0935,935,Maastricht,Limburg,31,,0,120922,Maastricht,0,0,0
2020-02-27,GM0938,938,Meerssen,Limburg,31,,0,18541,Meerssen,0,0,0
2020-02-27,GM0944,944,Mook en Middelaar,Limburg,31,,0,8000,Mook en Middelaar,0,0,0
2020-02-27,GM0946,946,Nederweert,Limburg,31,,0,17339,Nederweert,0,0,0
2020-02-27,GM0957,957,Roermond,Limburg,31,,0,59150,Roermond,0,0,0
2020-02-27,GM0965,965,Simpelveld,Limburg,31,,0,10420,Simpelveld,0,0,0
2020-02-27,GM0971,971,Stein,Limburg,31,,0,24817,Stein,0,0,0
2020-02-27,GM0981,981,Vaals,Limburg,31,,0,10084,Vaals,0,0,0
2020-02-27,GM0983,983,Venlo,Limburg,31,,0,102182,Venlo,0,0,0
2020-02-27,GM0984,984,Venray,Limburg,31,,0,44001,Venray,0,0,0
2020-02-27,GM0986,986,Voerendaal,Limburg,31,,0,12403,Voerendaal,0,0,0
2020-02-27,GM0988,988,Weert,Limburg,31,,0,50356,Weert,0,0,0
2020-02-27,GM0994,994,Valkenburg aan de Geul,Limburg,31,,0,16149,Valkenburg aan de Geul,0,0,0
2020-02-27,GM0995,995,Lelystad,Flevoland,24,,0,81341,Lelystad,0,0,0
2020-02-27,GM1507,1507,Horst aan de Maas,Limburg,31,,0,43080,Horst aan de Maas,0,0,0
2020-02-27,GM1509,1509,Oude IJsselstreek,Gelderland,25,,0,39346,Oude IJsselstreek,0,0,0
2020-02-27,GM1525,1525,Teylingen,Zuid-Holland,28,,0,37949,Teylingen,0,0,0
2020-02-27,GM1581,1581,Utrechtse Heuvelrug,Utrecht,26,,0,50003,Utrechtse Heuvelrug,0,0,0
2020-02-27,GM1586,1586,Oost Gelre,Gelderland,25,,0,29624,Oost Gelre,0,0,0
2020-02-27,GM1598,1598,Koggenland,Noord-Holland,27,,0,23030,Koggenland,0,0,0
2020-02-27,GM1621,1621,Lansingerland,Zuid-Holland,28,,0,64167,Lansingerland,0,0,0
2020-02-27,GM1640,1640,Leudal,Limburg,31,,0,35938,Leudal,0,0,0
2020-02-27,GM1641,1641,Maasgouw,Limburg,31,,0,24021,Maasgouw,0,0,0
2020-02-27,GM1652,1652,Gemert-Bakel,Noord-Brabant,30,,0,31107,Gemert-Bakel,0,0,0
2020-02-27,GM1655,1655,Halderberge,Noord-Brabant,30,,0,30767,Halderberge,0,0,0
2020-02-27,GM1658,1658,Heeze-Leende,Noord-Brabant,30,,0,16485,Heeze-Leende,0,0,0
2020-02-27,GM1659,1659,Laarbeek,Noord-Brabant,30,,0,22952,Laarbeek,0,0,0
2020-02-27,GM1667,1667,Reusel-De Mierden,Noord-Brabant,30,,0,13309,Reusel-De Mierden,0,0,0
2020-02-27,GM1669,1669,Roerdalen,Limburg,31,,0,20549,Roerdalen,0,0,0
2020-02-27,GM1674,1674,Roosendaal,Noord-Brabant,30,,0,77208,Roosendaal,0,0,0
2020-02-27,GM1676,1676,Schouwen-Duiveland,Zeeland,29,,0,34175,Schouwen-Duiveland,0,0,0
2020-02-27,GM1680,1680,Aa en Hunze,Drenthe,22,,0,25563,Aa en Hunze,0,0,0
2020-02-27,GM1681,1681,Borger-Odoorn,Drenthe,22,,0,25686,Borger-Odoorn,0,0,0
