Datum,MunicipalityCode,infectionsPer10000
2020-02-27,GM0642,0
2020-02-27,GM0654,0
2020-02-27,GM0664,0
2020-02-27,GM0668,0
2020-02-27,GM0677,0
2020-02-27,GM0678,0
2020-02-27,GM0687,0
2020-02-27,GM0703,0
2020-02-27,GM0715,0
2020-02-27,GM0716,0
2020-02-27,GM0717,0
2020-02-27,GM0718,0
2020-02-27,GM0736,0
2020-02-27,GM0737,0
2020-02-27,GM0743,0
2020-02-27,GM0744,0
2020-02-27,GM0748,0
2020-02-27,GM0753,0
2020-02-27,GM0755,0
2020-02-27,GM0756,0
2020-02-27,GM0757,0
2020-02-27,GM0758,0
2020-02-27,GM0762,0
2020-02-27,GM0765,0
2020-02-27,GM0766,0
2020-02-27,GM0770,0
2020-02-27,GM0772,0
2020-02-27,GM0777,0
2020-02-27,GM0779,0
2020-02-27,GM0784,0
2020-02-27,GM0785,0
2020-02-27,GM0786,0
2020-02-27,GM0794,0
2020-02-27,GM0796,0
2020-02-27,GM0797,0
2020-02-27,GM0798,0
2020-02-27,GM0809,0
2020-02-27,GM0815,0
2020-02-27,GM0820,0.004127542721099048
2020-02-27,GM0823,0
2020-02-27,GM0824,0
2020-02-27,GM0826,0
2020-02-27,GM0828,0
2020-02-27,GM0840,0
2020-02-27,GM0845,0
2020-02-27,GM0847,0
2020-02-27,GM0848,0
2020-02-27,GM0851,0
2020-02-27,GM0852,0
2020-02-27,GM0855,0.04443457009553433
2020-02-27,GM0856,0
2020-02-27,GM0858,0
2020-02-27,GM0861,0
2020-02-27,GM0865,0
2020-02-27,GM0866,0
2020-02-27,GM0867,0
2020-02-27,GM0873,0
2020-02-27,GM0879,0
2020-02-27,GM0880,0
2020-02-27,GM0882,0
2020-02-27,GM0888,0
2020-02-27,GM0889,0
2020-02-27,GM0893,0
2020-02-27,GM0899,0
2020-02-27,GM0907,0
2020-02-27,GM0917,0
2020-02-27,GM0928,0
2020-02-27,GM0935,0
2020-02-27,GM0938,0
2020-02-27,GM0944,0
2020-02-27,GM0946,0
2020-02-27,GM0957,0
2020-02-27,GM0965,0
2020-02-27,GM0971,0
2020-02-27,GM0981,0
2020-02-27,GM0983,0
2020-02-27,GM0984,0
2020-02-27,GM0986,0
2020-02-27,GM0988,0
2020-02-27,GM0994,0
2020-02-27,GM0995,0
2020-02-27,GM1507,0
2020-02-27,GM1509,0
2020-02-27,GM1525,0
2020-02-27,GM1581,0
2020-02-27,GM1586,0
2020-02-27,GM1598,0
2020-02-27,GM1621,0
2020-02-27,GM1640,0
2020-02-27,GM1641,0
2020-02-27,GM1652,0
2020-02-27,GM1655,0
2020-02-27,GM1658,0
2020-02-27,GM1659,0
2020-02-27,GM1667,0
2020-02-27,GM1669,0
2020-02-27,GM1674,0
2020-02-27,GM1676,0
2020-02-27,GM1680,0
2020-02-27,GM1681,0
2020-02-27,GM1684,0
2020-02-27,GM1685,0
2020-02-27,GM1690,0
2020-02-27,GM1695,0
2020-02-27,GM1696,0
2020-02-27,GM1699,0
2020-02-27,GM1700,0
2020-02-27,GM1701,0
2020-02-27,GM1702,0
2020-02-27,GM1705,0
2020-02-27,GM1706,0
2020-02-27,GM1708,0
2020-02-27,GM1709,0
2020-02-27,GM1711,0
2020-02-27,GM1714,0
2020-02-27,GM1719,0
2020-02-27,GM1721,0
2020-02-27,GM1723,0
2020-02-27,GM1724,0
2020-02-27,GM1728,0
2020-02-27,GM1729,0
2020-02-27,GM1730,0
2020-02-27,GM1731,0
2020-02-27,GM1734,0
2020-02-27,GM1735,0
2020-02-27,GM1740,0
2020-02-27,GM1742,0
2020-02-27,GM1771,0
2020-02-27,GM1773,0
2020-02-27,GM1774,0
2020-02-27,GM1783,0
2020-02-27,GM1842,0
2020-02-27,GM1859,0
2020-02-27,GM1876,0
2020-02-27,GM1883,0
2020-02-27,GM1884,0
2020-02-27,GM1891,0
2020-02-27,GM1892,0
2020-02-27,GM1894,0
2020-02-27,GM1895,0
2020-02-27,GM1896,0
2020-02-27,GM1900,0
2020-02-27,GM1901,0
2020-02-27,GM1903,0
2020-02-27,GM1904,0
2020-02-27,GM1911,0
2020-02-27,GM1916,0
2020-02-27,GM1924,0
2020-02-27,GM1926,0
2020-02-27,GM1930,0
2020-02-27,GM1931,0
2020-02-27,GM1940,0
2020-02-27,GM1942,0
2020-02-27,GM1945,0
2020-02-27,GM1948,0
2020-02-27,GM1949,0
2020-02-27,GM1950,0
2020-02-27,GM1952,0
2020-02-27,GM1954,0
2020-02-27,GM1955,0
2020-02-27,GM1959,0
2020-02-27,GM1960,0
2020-02-27,GM1961,0
2020-02-27,GM1963,0
2020-02-27,GM1966,0
2020-02-27,GM1969,0
2020-02-27,GM1970,0
2020-02-27,GM1978,0
2020-02-27,GM1979,0
2020-02-28,GM0014,0
2020-02-28,GM0034,0
2020-02-28,GM0037,0
2020-02-28,GM0047,0
2020-02-28,GM0050,0
2020-02-28,GM0059,0
2020-02-28,GM0060,0
2020-02-28,GM0072,0
2020-02-28,GM0074,0
2020-02-28,GM0080,0
2020-02-28,GM0085,0
2020-02-28,GM0086,0
2020-02-28,GM0088,0
2020-02-28,GM0090,0
2020-02-28,GM0093,0
2020-02-28,GM0096,0
2020-02-28,GM0098,0
2020-02-28,GM0106,0
2020-02-28,GM0109,0
2020-02-28,GM0114,0
2020-02-28,GM0118,0
2020-02-28,GM0119,0
2020-02-28,GM0141,0
2020-02-28,GM0147,0
2020-02-28,GM0148,0
2020-02-28,GM0150,0
2020-02-28,GM0153,0
2020-02-28,GM0158,0
2020-02-28,GM0160,0
2020-02-28,GM0163,0
2020-02-28,GM0164,0
2020-02-28,GM0166,0
2020-02-28,GM0168,0
2020-02-28,GM0171,0
2020-02-28,GM0173,0
2020-02-28,GM0175,0
2020-02-28,GM0177,0
2020-02-28,GM0180,0
2020-02-28,GM0183,0
2020-02-28,GM0184,0
2020-02-28,GM0189,0
2020-02-28,GM0193,0
2020-02-28,GM0197,0
2020-02-28,GM0200,0
2020-02-28,GM0202,0
2020-02-28,GM0203,0
2020-02-28,GM0209,0
2020-02-28,GM0213,0
2020-02-28,GM0214,0
2020-02-28,GM0216,0
2020-02-28,GM0221,0
2020-02-28,GM0222,0
2020-02-28,GM0225,0
2020-02-28,GM0226,0
2020-02-28,GM0228,0
2020-02-28,GM0230,0
2020-02-28,GM0232,0
2020-02-28,GM0233,0
2020-02-28,GM0243,0
2020-02-28,GM0244,0
2020-02-28,GM0246,0
2020-02-28,GM0252,0
2020-02-28,GM0262,0
2020-02-28,GM0263,0
2020-02-28,GM0267,0
2020-02-28,GM0268,0
2020-02-28,GM0269,0
2020-02-28,GM0273,0
2020-02-28,GM0274,0
2020-02-28,GM0275,0
2020-02-28,GM0277,0
2020-02-28,GM0279,0
2020-02-28,GM0281,0
2020-02-28,GM0285,0
2020-02-28,GM0289,0
2020-02-28,GM0293,0
2020-02-28,GM0294,0
2020-02-28,GM0296,0
2020-02-28,GM0297,0
2020-02-28,GM0299,0
2020-02-28,GM0301,0
2020-02-28,GM0302,0
2020-02-28,GM0303,0
2020-02-28,GM0307,0
2020-02-28,GM0308,0
2020-02-28,GM0310,0
2020-02-28,GM0312,0
2020-02-28,GM0313,0
2020-02-28,GM0317,0
2020-02-28,GM0321,0
2020-02-28,GM0327,0
2020-02-28,GM0331,0
2020-02-28,GM0335,0
2020-02-28,GM0339,0
2020-02-28,GM0340,0
2020-02-28,GM0342,0
2020-02-28,GM0344,0
2020-02-28,GM0345,0
2020-02-28,GM0351,0
2020-02-28,GM0352,0
2020-02-28,GM0353,0
2020-02-28,GM0355,0
2020-02-28,GM0356,0
2020-02-28,GM0358,0
2020-02-28,GM0361,0
2020-02-28,GM0362,0
2020-02-28,GM0363,0
2020-02-28,GM0370,0
2020-02-28,GM0373,0
2020-02-28,GM0375,0
2020-02-28,GM0376,0
2020-02-28,GM0377,0
2020-02-28,GM0383,0
2020-02-28,GM0384,0.31239261503858046
2020-02-28,GM0385,0
2020-02-28,GM0388,0
2020-02-28,GM0392,0
2020-02-28,GM0394,0
2020-02-28,GM0396,0
2020-02-28,GM0397,0
2020-02-28,GM0398,0
2020-02-28,GM0399,0
2020-02-28,GM0400,0
2020-02-28,GM0402,0
2020-02-28,GM0405,0
2020-02-28,GM0406,0
2020-02-28,GM0415,0
2020-02-28,GM0416,0
2020-02-28,GM0417,0
2020-02-28,GM0420,0
2020-02-28,GM0431,0
2020-02-28,GM0432,0
2020-02-28,GM0437,0
2020-02-28,GM0439,0
2020-02-28,GM0441,0
2020-02-28,GM0448,0
2020-02-28,GM0450,0
2020-02-28,GM0451,0
2020-02-28,GM0453,0
2020-02-28,GM0457,0
2020-02-28,GM0473,0
2020-02-28,GM0479,0
2020-02-28,GM0482,0
2020-02-28,GM0484,0
2020-02-28,GM0489,0
2020-02-28,GM0498,0
2020-02-28,GM0501,0
2020-02-28,GM0502,0
2020-02-28,GM0503,0
2020-02-28,GM0505,0
2020-02-28,GM0512,0
2020-02-28,GM0513,0
2020-02-28,GM0518,0
2020-02-28,GM0523,0
2020-02-28,GM0530,0
2020-02-28,GM0531,0
2020-02-28,GM0532,0
2020-02-28,GM0534,0
2020-02-28,GM0537,0
2020-02-28,GM0542,0
2020-02-28,GM0546,0
2020-02-28,GM0547,0
2020-02-28,GM0553,0
2020-02-28,GM0556,0
2020-02-28,GM0569,0
2020-02-28,GM0575,0
2020-02-28,GM0579,0
2020-02-28,GM0589,0
2020-02-28,GM0590,0
2020-02-28,GM0597,0
2020-02-28,GM0599,0
2020-02-28,GM0603,0
2020-02-28,GM0606,0
2020-02-28,GM0610,0
2020-02-28,GM0613,0
2020-02-28,GM0614,0
2020-02-28,GM0622,0
2020-02-28,GM0626,0
2020-02-28,GM0627,0
2020-02-28,GM0629,0
2020-02-28,GM0632,0
2020-02-28,GM0637,0
2020-02-28,GM0638,0
2020-02-28,GM0642,0
2020-02-28,GM0654,0
2020-02-28,GM0664,0
2020-02-28,GM0668,0
2020-02-28,GM0677,0
2020-02-28,GM0678,0
2020-02-28,GM0687,0
2020-02-28,GM0703,0
2020-02-28,GM0715,0
2020-02-28,GM0716,0
2020-02-28,GM0717,0
2020-02-28,GM0718,0
2020-02-28,GM0736,0
2020-02-28,GM0737,0
2020-02-28,GM0743,0
2020-02-28,GM0744,0
2020-02-28,GM0748,0
2020-02-28,GM0753,0
2020-02-28,GM0755,0
2020-02-28,GM0756,0
2020-02-28,GM0757,0
2020-02-28,GM0758,0
2020-02-28,GM0762,0
2020-02-28,GM0765,0
2020-02-28,GM0766,0
2020-02-28,GM0770,0
2020-02-28,GM0772,0
2020-02-28,GM0777,0
2020-02-28,GM0779,0
2020-02-28,GM0784,0
2020-02-28,GM0785,0
2020-02-28,GM0786,0
2020-02-28,GM0794,0
2020-02-28,GM0796,0
2020-02-28,GM0797,0
2020-02-28,GM0798,0
2020-02-28,GM0809,0
2020-02-28,GM0815,0
2020-02-28,GM0820,0.004127542721099048
2020-02-28,GM0823,0
2020-02-28,GM0824,0
2020-02-28,GM0826,0
2020-02-28,GM0828,0
2020-02-28,GM0840,0
2020-02-28,GM0845,0
2020-02-28,GM0847,0
2020-02-28,GM0848,0
2020-02-28,GM0851,0
2020-02-28,GM0852,0
2020-02-28,GM0855,0.04443457009553433
2020-02-28,GM0856,0
2020-02-28,GM0858,0
2020-02-28,GM0861,0
2020-02-28,GM0865,0
2020-02-28,GM0866,0
2020-02-28,GM0867,0
2020-02-28,GM0873,0
2020-02-28,GM0879,0
2020-02-28,GM0880,0
2020-02-28,GM0882,0
2020-02-28,GM0888,0
2020-02-28,GM0889,0
2020-02-28,GM0893,0
2020-02-28,GM0899,0
2020-02-28,GM0907,0
2020-02-28,GM0917,0
2020-02-28,GM0928,0
2020-02-28,GM0935,0
2020-02-28,GM0938,0
2020-02-28,GM0944,0
2020-02-28,GM0946,0
2020-02-28,GM0957,0
2020-02-28,GM0965,0
2020-02-28,GM0971,0
2020-02-28,GM0981,0
2020-02-28,GM0983,0
2020-02-28,GM0984,0
2020-02-28,GM0986,0
2020-02-28,GM0988,0
2020-02-28,GM0994,0
2020-02-28,GM0995,0
2020-02-28,GM1507,0
2020-02-28,GM1509,0
2020-02-28,GM1525,0
2020-02-28,GM1581,0
2020-02-28,GM1586,0
2020-02-28,GM1598,0
2020-02-28,GM1621,0
2020-02-28,GM1640,0
2020-02-28,GM1641,0
2020-02-28,GM1652,0
2020-02-28,GM1655,0
2020-02-28,GM1658,0
2020-02-28,GM1659,0
2020-02-28,GM1667,0
2020-02-28,GM1669,0
2020-02-28,GM1674,0
2020-02-28,GM1676,0
2020-02-28,GM1680,0
2020-02-28,GM1681,0
2020-02-28,GM1684,0
2020-02-28,GM1685,0
2020-02-28,GM1690,0
2020-02-28,GM1695,0
2020-02-28,GM1696,0
2020-02-28,GM1699,0
2020-02-28,GM1700,0
2020-02-28,GM1701,0
2020-02-28,GM1702,0
2020-02-28,GM1705,0
2020-02-28,GM1706,0
2020-02-28,GM1708,0
2020-02-28,GM1709,0
2020-02-28,GM1711,0
2020-02-28,GM1714,0
2020-02-28,GM1719,0
2020-02-28,GM1721,0
2020-02-28,GM1723,0
2020-02-28,GM1724,0
2020-02-28,GM1728,0
2020-02-28,GM1729,0
2020-02-28,GM1730,0
2020-02-28,GM1731,0
2020-02-28,GM1734,0
2020-02-28,GM1735,0
2020-02-28,GM1740,0
2020-02-28,GM1742,0
2020-02-28,GM1771,0
2020-02-28,GM1773,0
2020-02-28,GM1774,0
2020-02-28,GM1783,0
2020-02-28,GM1842,0
2020-02-28,GM1859,0
2020-02-28,GM1876,0
2020-02-28,GM1883,0
2020-02-28,GM1884,0
2020-02-28,GM1891,0
2020-02-28,GM1892,0
2020-02-28,GM1894,0
2020-02-28,GM1895,0
2020-02-28,GM1896,0
2020-02-28,GM1900,0
2020-02-28,GM1901,0
2020-02-28,GM1903,0
2020-02-28,GM1904,0
2020-02-28,GM1911,0
2020-02-28,GM1916,0
2020-02-28,GM1924,0
2020-02-28,GM1926,0
2020-02-28,GM1930,0
2020-02-28,GM1931,0
2020-02-28,GM1940,0
2020-02-28,GM1942,0
2020-02-28,GM1945,0
2020-02-28,GM1948,0
2020-02-28,GM1949,0
2020-02-28,GM1950,0
2020-02-28,GM1952,0
2020-02-28,GM1954,0
2020-02-28,GM1955,0
2020-02-28,GM1959,0
2020-02-28,GM1960,0
2020-02-28,GM1961,0
2020-02-28,GM1963,0
2020-02-28,GM1966,0
2020-02-28,GM1969,0
2020-02-28,GM1970,0
2020-02-28,GM1978,0
2020-02-28,GM1979,0
2020-02-29,GM0014,0
2020-02-29,GM0034,0
2020-02-29,GM0037,0
2020-02-29,GM0047,0
2020-02-29,GM0050,0
2020-02-29,GM0059,0
2020-02-29,GM0060,0
2020-02-29,GM0072,0
2020-02-29,GM0074,0
2020-02-29,GM0080,0
2020-02-29,GM0085,0
2020-02-29,GM0086,0
2020-02-29,GM0088,0
2020-02-29,GM0090,0
2020-02-29,GM0093,0
2020-02-29,GM0096,0
2020-02-29,GM0098,0
2020-02-29,GM0106,0
2020-02-29,GM0109,0
2020-02-29,GM0114,0
2020-02-29,GM0118,0
2020-02-29,GM0119,0
2020-02-29,GM0141,0
2020-02-29,GM0147,0
2020-02-29,GM0148,0
2020-02-29,GM0150,0
2020-02-29,GM0153,0
2020-02-29,GM0158,0
2020-02-29,GM0160,0
2020-02-29,GM0163,0
2020-02-29,GM0164,0
2020-02-29,GM0166,0
2020-02-29,GM0168,0
2020-02-29,GM0171,0
2020-02-29,GM0173,0
2020-02-29,GM0175,0
2020-02-29,GM0177,0
2020-02-29,GM0180,0
2020-02-29,GM0183,0
2020-02-29,GM0184,0
2020-02-29,GM0189,0
2020-02-29,GM0193,0
2020-02-29,GM0197,0
2020-02-29,GM0200,0
2020-02-29,GM0202,0
2020-02-29,GM0203,0
2020-02-29,GM0209,0
2020-02-29,GM0213,0
2020-02-29,GM0214,0
2020-02-29,GM0216,0
2020-02-29,GM0221,0
2020-02-29,GM0222,0
2020-02-29,GM0225,0
2020-02-29,GM0226,0
2020-02-29,GM0228,0
2020-02-29,GM0230,0
2020-02-29,GM0232,0
2020-02-29,GM0233,0
2020-02-29,GM0243,0
2020-02-29,GM0244,0
2020-02-29,GM0246,0
2020-02-29,GM0252,0
2020-02-29,GM0262,0
2020-02-29,GM0263,0
2020-02-29,GM0267,0
2020-02-29,GM0268,0
2020-02-29,GM0269,0
2020-02-29,GM0273,0
2020-02-29,GM0274,0
2020-02-29,GM0275,0
2020-02-29,GM0277,0
2020-02-29,GM0279,0
2020-02-29,GM0281,0
2020-02-29,GM0285,0
2020-02-29,GM0289,0
2020-02-29,GM0293,0
2020-02-29,GM0294,0
2020-02-29,GM0296,0
2020-02-29,GM0297,0
2020-02-29,GM0299,0
2020-02-29,GM0301,0
2020-02-29,GM0302,0
2020-02-29,GM0303,0
2020-02-29,GM0307,0
2020-02-29,GM0308,0
2020-02-29,GM0310,0
2020-02-29,GM0312,0
2020-02-29,GM0313,0
2020-02-29,GM0317,0
2020-02-29,GM0321,0
2020-02-29,GM0327,0
2020-02-29,GM0331,0
2020-02-29,GM0335,0
2020-02-29,GM0339,0
2020-02-29,GM0340,0
2020-02-29,GM0342,0
2020-02-29,GM0344,0
2020-02-29,GM0345,0
2020-02-29,GM0351,0
2020-02-29,GM0352,0
2020-02-29,GM0353,0
2020-02-29,GM0355,0
2020-02-29,GM0356,0
2020-02-29,GM0358,0
2020-02-29,GM0361,0
2020-02-29,GM0362,0
2020-02-29,GM0363,0
2020-02-29,GM0370,0
2020-02-29,GM0373,0
2020-02-29,GM0375,0
2020-02-29,GM0376,0
2020-02-29,GM0377,0
2020-02-29,GM0383,0
2020-02-29,GM0384,0.9371778451157415
2020-02-29,GM0385,0
2020-02-29,GM0388,0
2020-02-29,GM0392,0
2020-02-29,GM0394,0
2020-02-29,GM0396,0
2020-02-29,GM0397,0
2020-02-29,GM0398,0
2020-02-29,GM0399,0
2020-02-29,GM0400,0
2020-02-29,GM0402,0
2020-02-29,GM0405,0
2020-02-29,GM0406,0
2020-02-29,GM0415,0
2020-02-29,GM0416,0
2020-02-29,GM0417,0
2020-02-29,GM0420,0
2020-02-29,GM0431,0
2020-02-29,GM0432,0
2020-02-29,GM0437,0
2020-02-29,GM0439,0
2020-02-29,GM0441,0
2020-02-29,GM0448,0
2020-02-29,GM0450,0
2020-02-29,GM0451,0
2020-02-29,GM0453,0
2020-02-29,GM0457,0
2020-02-29,GM0473,0
2020-02-29,GM0479,0
2020-02-29,GM0482,0
2020-02-29,GM0484,0
2020-02-29,GM0489,0
2020-02-29,GM0498,0
2020-02-29,GM0501,0
2020-02-29,GM0502,0
2020-02-29,GM0503,0.09556757583287143
2020-02-29,GM0505,0
2020-02-29,GM0512,0
2020-02-29,GM0513,0
2020-02-29,GM0518,0
2020-02-29,GM0523,0
2020-02-29,GM0530,0
2020-02-29,GM0531,0
2020-02-29,GM0532,0
2020-02-29,GM0534,0
2020-02-29,GM0537,0
2020-02-29,GM0542,0
2020-02-29,GM0546,0
2020-02-29,GM0547,0
2020-02-29,GM0553,0
2020-02-29,GM0556,0
2020-02-29,GM0569,0
2020-02-29,GM0575,0
2020-02-29,GM0579,0
2020-02-29,GM0589,0
2020-02-29,GM0590,0
2020-02-29,GM0597,0
2020-02-29,GM0599,0
2020-02-29,GM0603,0
2020-02-29,GM0606,0
2020-02-29,GM0610,0
2020-02-29,GM0613,0
2020-02-29,GM0614,0
2020-02-29,GM0622,0
2020-02-29,GM0626,0
2020-02-29,GM0627,0
2020-02-29,GM0629,0
2020-02-29,GM0632,0
2020-02-29,GM0637,0
2020-02-29,GM0638,0
2020-02-29,GM0642,0
2020-02-29,GM0654,0
2020-02-29,GM0664,0
2020-02-29,GM0668,0
2020-02-29,GM0677,0
2020-02-29,GM0678,0
2020-02-29,GM0687,0
2020-02-29,GM0703,0
2020-02-29,GM0715,0
2020-02-29,GM0716,0
2020-02-29,GM0717,0
2020-02-29,GM0718,0
2020-02-29,GM0736,0
2020-02-29,GM0737,0
2020-02-29,GM0743,0
2020-02-29,GM0744,0
2020-02-29,GM0748,0
2020-02-29,GM0753,0
2020-02-29,GM0755,0
2020-02-29,GM0756,0
2020-02-29,GM0757,0
2020-02-29,GM0758,0
2020-02-29,GM0762,0
2020-02-29,GM0765,0
2020-02-29,GM0766,0
2020-02-29,GM0770,0
2020-02-29,GM0772,0
2020-02-29,GM0777,0
2020-02-29,GM0779,0
2020-02-29,GM0784,0
2020-02-29,GM0785,0
2020-02-29,GM0786,0
2020-02-29,GM0794,0
2020-02-29,GM0796,0
2020-02-29,GM0797,0
2020-02-29,GM0798,0
2020-02-29,GM0809,0
2020-02-29,GM0815,0
2020-02-29,GM0820,0.012382628163297146
2020-02-29,GM0823,0
2020-02-29,GM0824,0
2020-02-29,GM0826,0
2020-02-29,GM0828,0
2020-02-29,GM0840,0
2020-02-29,GM0845,0
2020-02-29,GM0847,0
2020-02-29,GM0848,0
2020-02-29,GM0851,0
2020-02-29,GM0852,0
2020-02-29,GM0855,0.13330371028660298
2020-02-29,GM0856,0
2020-02-29,GM0858,0
2020-02-29,GM0861,0
2020-02-29,GM0865,0
2020-02-29,GM0866,0
2020-02-29,GM0867,0
2020-02-29,GM0873,0
2020-02-29,GM0879,0
2020-02-29,GM0880,0
2020-02-29,GM0882,0
2020-02-29,GM0888,0
2020-02-29,GM0889,0
2020-02-29,GM0893,0
2020-02-29,GM0899,0
2020-02-29,GM0907,0
2020-02-29,GM0917,0
2020-02-29,GM0928,0
2020-02-29,GM0935,0
2020-02-29,GM0938,0
2020-02-29,GM0944,0
2020-02-29,GM0946,0
2020-02-29,GM0957,0
2020-02-29,GM0965,0
2020-02-29,GM0971,0
2020-02-29,GM0981,0
2020-02-29,GM0983,0
2020-02-29,GM0984,0
2020-02-29,GM0986,0
2020-02-29,GM0988,0
2020-02-29,GM0994,0
2020-02-29,GM0995,0
2020-02-29,GM1507,0
2020-02-29,GM1509,0
2020-02-29,GM1525,0
2020-02-29,GM1581,0
2020-02-29,GM1586,0
2020-02-29,GM1598,0
2020-02-29,GM1621,0
2020-02-29,GM1640,0
2020-02-29,GM1641,0
2020-02-29,GM1652,0
2020-02-29,GM1655,0
2020-02-29,GM1658,0
2020-02-29,GM1659,0
2020-02-29,GM1667,0
2020-02-29,GM1669,0
2020-02-29,GM1674,0
2020-02-29,GM1676,0
2020-02-29,GM1680,0
2020-02-29,GM1681,0
2020-02-29,GM1684,0
2020-02-29,GM1685,0
2020-02-29,GM1690,0
2020-02-29,GM1695,0
2020-02-29,GM1696,0
