Datum,AantalCumulatief
2020-06-15,48416.587207000004
2020-06-16,48552.842854999995
2020-06-17,48672.029675
2020-06-18,48793.147667
2020-06-19,48892.334487
2020-06-20,48974.403315
2020-06-21,49065.540972
2020-06-22,49131.609801
2020-06-23,49194.708127
2020-06-24,49277.885114
2020-06-25,49387.042437
2020-06-26,49479.170261
2020-06-27,49551.239089
2020-06-28,49624.258754
2020-06-29,49703.376746
2020-06-30,49754.425909
2020-07-01,49815.50457
2020-07-02,49891.573399
2020-07-03,49962.622562
2020-07-04,50024.740553
2020-07-05,50097.819214
2020-07-06,50137.848712
2020-07-07,50175.966704
2020-07-08,50228.06503
2020-07-09,50280.153524
2020-07-10,50324.271516
2020-07-11,50404.39934
2020-07-12,50501.576327
2020-07-13,50572.704151
2020-07-14,50627.527164
2020-07-15,50734.576327
2020-07-16,50832.723817
2020-07-17,50939.890971
2020-07-18,51065.048293
2020-07-19,51210.235114
2020-07-20,51393.461264
2020-07-21,51553.598921
2020-07-22,51719.854569
2020-07-23,51880.952896
2020-07-24,52074.188879
2020-07-25,52210.326536
2020-07-26,52422.582184
2020-07-27,52624.739506
2020-07-28,52848.083648
2020-07-29,53090.467121
2020-07-30,53427.889924
2020-07-31,53767.243899
2020-08-01,54189.735531
2020-08-02,54553.335321
2020-08-03,54924.856451
2020-08-04,55413.33825
2020-08-05,55833.839714
2020-08-06,56433.410007
2020-08-07,56951.068793
2020-08-08,57436.757077
2020-08-09,58002.573186
2020-08-10,58630.222139
2020-08-11,59407.244733
2020-08-12,60054.795361
2020-08-13,60620.286992
2020-08-14,61254.985109
2020-08-15,61901.62423
2020-08-16,62399.322347
2020-08-17,62878.872974
2020-08-18,63365.512096
2020-08-19,63912.161049
2020-08-20,64442.633016
2020-08-21,64976.399961
2020-08-22,65479.980086
2020-08-23,65930.609375
2020-08-24,66501.37632000001
2020-08-25,66912.887617
2020-08-26,67483.811884
2020-08-27,67988.490336
2020-08-28,68495.316277
2020-08-29,68994.102888
2020-08-30,69499.72234400001
2020-08-31,70023.361465
2020-09-01,70483.843264
2020-09-02,71213.52171500001
2020-09-03,71809.151004
2020-09-04,72545.878618
2020-09-05,73190.645564
2020-09-06,74112.57966399999
2020-09-07,74903.405605
2020-09-08,75859.231546
2020-09-09,76988.332801
2020-09-10,77814.10957900001
2020-09-11,79078.073177
2020-09-12,80287.14493400001
2020-09-13,81362.265854
2020-09-14,82659.327778
2020-09-15,84032.301209
2020-09-16,85563.363133
2020-09-17,87288.926521
2020-09-18,89248.775056
2020-09-19,91107.643256
2020-09-20,92936.980494
2020-09-21,95132.28133
2020-09-22,97353.768986
2020-09-23,99687.669613
2020-09-24,102217.698064
2020-09-25,104977.667519
2020-09-26,107660.165007
2020-09-27,110626.203291
2020-09-28,113498.467724
2020-09-29,116493.938644
2020-09-30,119767.868768
2020-10-01,122998.123369
2020-10-02,126807.039685
2020-10-03,130729.142822
2020-10-04,134703.58717100002
2020-10-05,139258.093446
2020-10-06,143741.632146
2020-10-07,148691.69887999998
2020-10-08,154435.083187
2020-10-09,160370.00536
2020-10-10,166811.142804
2020-10-11,173145.080667
2020-10-12,179949.369576
2020-10-13,187267.150116
2020-10-14,194480.732957
2020-10-15,202228.210567
2020-10-16,210174.272279
2020-10-17,218241.527714
2020-10-18,226394.321016
2020-10-19,234340.900928
2020-10-20,242444.047158
2020-10-21,251137.265144
2020-10-22,260369.759491
2020-10-23,270291.836892
2020-10-24,278880.62621799996
2020-10-25,289009.366381
2020-10-26,299281.356122
2020-10-27,309532.43938
2020-10-28,317592.630797
2020-10-29,327774.319703
2020-10-30,338818.223045
2020-10-31,348573.981826
2020-11-01,357213.996255
2020-11-02,365463.623236
2020-11-03,373169.483272
2020-11-04,380765.966739
2020-11-05,387724.583054
2020-11-06,394925.969242
2020-11-07,401563.109614
2020-11-08,407212.693502
2020-11-09,411849.763165
2020-11-10,416511.596844
2020-11-11,421902.652699
2020-11-12,427524.014412
2020-11-13,433577.41148
2020-11-14,439442.542019
2020-11-15,444858.280301
2020-11-16,449674.522975
2020-11-17,453954.280922
2020-11-18,458541.495146
2020-11-19,464161.101628
2020-11-20,470030.245976
2020-11-21,476084.577144
2020-11-22,481430.436345
2020-11-23,486580.685924
2020-11-24,490498.890315
2020-11-25,495399.864579
2020-11-26,499823.734661
2020-11-27,505563.567293
2020-11-28,510001.535701
2020-11-29,515553.139254
2020-11-30,520126.041762
2020-12-01,524169.128161
2020-12-02,529059.952008
2020-12-03,534658.240917
2020-12-04,540501.8179009999
2020-12-05,547004.7321230001
2020-12-06,553767.0534580001
2020-12-07,560826.200735
2020-12-08,566938.7285549999
2020-12-09,573456.882736
2020-12-10,582153.281685
2020-12-11,590940.965781
2020-12-12,600010.220169
2020-12-13,609821.2247659999
2020-12-14,618270.3582339999
2020-12-15,624911.945051
2020-12-16,636017.142325
2020-12-17,648719.408427
2020-12-18,660620.651935
2020-12-19,672803.062599
2020-12-20,685786.606943
2020-12-21,696938.080578
2020-12-22,706723.216975
2020-12-23,717108.812577
2020-12-24,728566.902739
2020-12-25,739995.179721
2020-12-26,749786.686829
2020-12-27,758836.535151
2020-12-28,766245.75816
2020-12-29,773749.981169
2020-12-30,783151.770495
2020-12-31,792791.304173
2021-01-01,800931.471114
2021-01-02,809507.762952
2021-01-03,816880.198303
2021-01-04,823452.074242
2021-01-05,829801.887209
2021-01-06,836898.195783
2021-01-07,847180.2157960001
2021-01-08,855253.041798
2021-01-09,862576.93494
2021-01-10,869169.572206
2021-01-11,874585.086046
2021-01-12,879471.079246
2021-01-13,885558.90918
2021-01-14,892010.334655
2021-01-15,898027.373074
2021-01-16,903296.817498
2021-01-17,908931.289501
2021-01-18,913663.1416570001
2021-01-19,917920.197906
2021-01-20,923538.595707
2021-01-21,929298.742694
2021-01-22,935041.257085
2021-01-23,940461.49989
2021-01-24,945328.408583
2021-01-25,949379.043087
2021-01-26,953312.268771
2021-01-27,957987.808005
2021-01-28,962644.7683669999
2021-01-29,967015.126676
2021-01-30,971210.710793
2021-01-31,974921.9531469999
2021-02-01,978097.622083
2021-02-02,981671.598828
2021-02-03,985684.6855339999
2021-02-04,989869.097011
2021-02-05,994206.226044
2021-02-06,998266.620981
2021-02-07,1002217.908445
2021-02-08,1004437.1477120001
2021-02-09,1006194.4606730001
2021-02-10,1009365.6663510001
2021-02-11,1013780.175196
2021-02-12,1018100.494126
2021-02-13,1022275.561414
2021-02-14,1025721.893566
2021-02-15,1028535.2707150001
2021-02-16,1031256.0681609999
2021-02-17,1034603.2818989999
2021-02-18,1039111.049418
2021-02-19,1043810.06762
2021-02-20,1048334.825729
2021-02-21,1052980.590675
2021-02-22,1057137.2184539998
2021-02-23,1060916.341985
2021-02-24,1065252.518958
2021-02-25,1070215.6691669999
2021-02-26,1075324.666775
2021-02-27,1080255.3697799998
2021-02-28,1084909.0344
2021-03-01,1088674.368294
2021-03-02,1092643.41945
2021-03-03,1097627.598295
2021-03-04,1101708.066133
2021-03-05,1106354.405688
2021-03-06,1111710.1892890001
2021-03-07,1116215.226735
2021-03-08,1120061.022877
2021-03-09,1124334.192251
2021-03-10,1129523.852149
2021-03-11,1134811.464103
2021-03-12,1140781.142669
2021-03-13,1147087.081427
2021-03-14,1153043.4583059999
2021-03-15,1158512.806684
2021-03-16,1163394.3343119998
2021-03-17,1169286.54329
2021-03-18,1175385.059325
2021-03-19,1182717.176729
2021-03-20,1190316.605143
2021-03-21,1197272.379086
2021-03-22,1203519.7759419999
2021-03-23,1209078.292191
2021-03-25,1224293.8422570003
2021-03-26,1231821.0613240001
2021-03-27,1240624.3451600003
2021-03-28,1248049.6568049998
2021-03-29,1254770.647654
2021-03-30,1260591.1007039999
2021-03-31,1268165.324346
2021-04-01,1275969.094463
2021-04-02,1283170.2623969999
2021-04-03,1290790.923375
2021-04-04,1297586.5609159998
2021-04-05,1302918.026698
2021-04-06,1308441.542652
2021-04-07,1314772.7560379999
2021-04-08,1322479.169819
2021-04-09,1330056.806137
2021-04-10,1337690.4674089998
2021-04-11,1345831.646831
2021-04-12,1352521.9991569999
2021-04-13,1359200.7785560002
2021-04-14,1364565.709173
2021-04-15,1373236.5614310002
2021-04-16,1382110.894524
2021-04-17,1390326.2998229999
