Datum,population,infectionsPer10000,AantalCumulatief,Gemeentenaam,Provincienaam
2021-04-17,27122,782.7593835262886,2123,Aalten,Gelderland
2021-04-17,165741,629.9587911259133,10441,Apeldoorn,Gelderland
2021-04-17,164319,641.5569715005569,10542,Arnhem,Gelderland
2021-04-17,60652,1095.2647892897185,6643,Barneveld,Gelderland
2021-04-17,26242,719.4573584330464,1888,Beuningen,Gelderland
2021-04-17,20866,563.5962810313429,1176,Brummen,Gelderland
2021-04-17,27237,756.3241179278187,2060,Buren,Gelderland
2021-04-17,29320,780.6957708049113,2289,Culemborg,Gelderland
2021-04-17,11037,607.0490169430099,670,Doesburg,Gelderland
2021-04-17,58593,687.9661392999163,4031,Doetinchem,Gelderland
2021-04-17,19191,845.1878484706373,1622,Druten,Gelderland
2021-04-17,24908,680.9057330978,1696,Duiven,Gelderland
2021-04-17,120101,845.2885488047559,10152,Ede,Gelderland
2021-04-17,23728,723.1962238705327,1716,Elburg,Gelderland
2021-04-17,33218,704.7383948461677,2341,Epe,Gelderland
2021-04-17,27268,784.8026991345166,2140,Ermelo,Gelderland
2021-04-17,48824,763.558905456333,3728,Harderwijk,Gelderland
2021-04-17,12312,598.6029889538661,737,Hattem,Gelderland
2021-04-17,19038,588.8223552894211,1121,Heerde,Gelderland
2021-04-17,16918,679.7493793592624,1150,Heumen,Gelderland
2021-04-17,34086,506.0728744939271,1725,Lochem,Gelderland
2021-04-17,25618,1153.8761808103677,2956,Maasdriel,Gelderland
2021-04-17,44436,887.3435952831038,3943,Nijkerk,Gelderland
2021-04-17,179494,698.574882725885,12539,Nijmegen,Gelderland
2021-04-17,23974,810.4613331108701,1943,Oldebroek,Gelderland
2021-04-17,24627,851.0983879481869,2096,Putten,Gelderland
2021-04-17,31320,561.6219667943806,1759,Renkum,Gelderland
2021-04-17,43458,707.349624925215,3074,Rheden,Gelderland
2021-04-17,1755,501.4245014245014,88,Rozendaal,Gelderland
2021-04-17,10317,901.4248328002326,930,Scherpenzeel,Gelderland
2021-04-17,42294,867.026055705301,3667,Tiel,Gelderland
2021-04-17,25019,628.7221711499261,1573,Voorst,Gelderland
2021-04-17,40056,637.1080487317755,2552,Wageningen,Gelderland
2021-04-17,14943,634.4107608913872,948,Westervoort,Gelderland
2021-04-17,29144,549.3412023057919,1601,Winterswijk,Gelderland
2021-04-17,41302,769.9385017674689,3180,Wijchen,Gelderland
2021-04-17,30041,1102.8261376119303,3313,Zaltbommel,Gelderland
2021-04-17,44676,596.2933118452861,2664,Zevenaar,Gelderland
2021-04-17,48322,524.6057696287405,2535,Zutphen,Gelderland
2021-04-17,28233,675.8049091488684,1908,Nunspeet,Gelderland
2021-04-17,43026,606.3775391623669,2609,Dronten,Flevoland
2021-04-17,158836,769.2840414011937,12219,Amersfoort,Utrecht
2021-04-17,24881,734.2952453679515,1827,Baarn,Utrecht
2021-04-17,43486,742.3078691992825,3228,De Bilt,Utrecht
2021-04-17,15684,637.5924509053813,1000,Bunnik,Utrecht
2021-04-17,22323,1727.8143618689246,3857,Bunschoten,Utrecht
2021-04-17,9462,866.6243923060664,820,Eemnes,Utrecht
2021-04-17,50305,677.8650233575191,3410,Houten,Utrecht
2021-04-17,30756,665.5611913122643,2047,Leusden,Utrecht
2021-04-17,14540,951.856946354883,1384,Lopik,Utrecht
2021-04-17,13813,879.6061681025122,1215,Montfoort,Utrecht
2021-04-17,5637,911.8325350363668,514,Renswoude,Utrecht
2021-04-17,20253,1028.4896064780526,2083,Rhenen,Utrecht
2021-04-17,47104,719.8963994565217,3391,Soest,Utrecht
2021-04-17,362715,750.4790262327172,27221,Utrecht,Utrecht
2021-04-17,67789,1050.3178981840713,7120,Veenendaal,Utrecht
2021-04-17,13921,930.9676029020903,1296,Woudenberg,Utrecht
2021-04-17,23942,661.5988639211428,1584,Wijk bij Duurstede,Utrecht
2021-04-17,33443,784.0205723170768,2622,IJsselstein,Utrecht
2021-04-17,66019,652.9938351080749,4311,Zeist,Utrecht
2021-04-17,64529,705.574237939531,4553,Nieuwegein,Utrecht
2021-04-17,32532,775.2366900282799,2522,Aalsmeer,Noord-Holland
2021-04-17,110834,743.6346247541369,8242,Alkmaar,Noord-Holland
2021-04-17,92509,671.1779394437298,6209,Amstelveen,Noord-Holland
2021-04-17,885941,858.7253553001837,76078,Amsterdam,Noord-Holland
2021-04-17,32011,249.6016994158258,799,Beemster,Noord-Holland
2021-04-17,29756,734.3056862481516,2185,Bergen (NH.),Noord-Holland
2021-04-17,42133,872.4752569245011,3676,Beverwijk,Noord-Holland
2021-04-17,12385,688.73637464675,853,Blaricum,Noord-Holland
2021-04-17,23679,600.1098019342032,1421,Bloemendaal,Noord-Holland
2021-04-17,36265,747.0012408658486,2709,Castricum,Noord-Holland
2021-04-17,32011,821.9049701665053,2631,Diemen,Noord-Holland
2021-04-17,36439,1190.2082933121108,4337,Edam-Volendam,Noord-Holland
2021-04-17,18652,953.2489813424834,1778,Enkhuizen,Noord-Holland
2021-04-17,163065,680.2195443534787,11092,Haarlem,Noord-Holland
2021-04-17,159342,746.3192378657228,11892,Haarlemmermeer,Noord-Holland
2021-04-17,39145,893.0897943543237,3496,Heemskerk,Noord-Holland
2021-04-17,27578,606.2803684096019,1672,Heemstede,Noord-Holland
2021-04-17,32011,1507.919152791228,4827,Heerhugowaard,Noord-Holland
2021-04-17,24430,590.2578796561605,1442,Heiloo,Noord-Holland
2021-04-17,56356,823.3373553836326,4640,Den Helder,Noord-Holland
2021-04-17,91840,616.1803135888501,5659,Hilversum,Noord-Holland
2021-04-17,74397,1055.1500732556422,7850,Hoorn,Noord-Holland
2021-04-17,40962,870.5629607929301,3566,Huizen,Noord-Holland
2021-04-17,11565,870.7306528318201,1007,Landsmeer,Noord-Holland
2021-04-17,32011,691.3248570803786,2213,Langedijk,Noord-Holland
2021-04-17,11571,746.6943220119264,864,Laren,Noord-Holland
2021-04-17,45478,1085.579840802146,4937,Medemblik,Noord-Holland
2021-04-17,9665,892.912571132954,863,Oostzaan,Noord-Holland
2021-04-17,12126,971.466270823025,1178,Opmeer,Noord-Holland
2021-04-17,14187,769.7187566081625,1092,Ouder-Amstel,Noord-Holland
2021-04-17,92504,757.480757588861,7007,Purmerend,Noord-Holland
2021-04-17,46856,837.4594502304934,3924,Schagen,Noord-Holland
2021-04-17,13690,298.02775748721695,408,Texel,Noord-Holland
2021-04-17,13534,834.1953598344909,1129,Uitgeest,Noord-Holland
2021-04-17,31004,698.9420719907109,2167,Uithoorn,Noord-Holland
2021-04-17,68452,900.4850113948461,6164,Velsen,Noord-Holland
2021-04-17,32011,566.0554184499078,1812,Weesp,Noord-Holland
2021-04-17,17161,687.0229007633588,1179,Zandvoort,Noord-Holland
2021-04-17,157375,864.7498014297062,13609,Zaanstad,Noord-Holland
2021-04-17,20129,1103.3831784986835,2221,Alblasserdam,Zuid-Holland
2021-04-17,113026,866.1723851149293,9790,Alphen aan den Rijn,Zuid-Holland
2021-04-17,48712,941.2465101001806,4585,Barendrecht,Zuid-Holland
2021-04-17,20006,970.7087873637909,1942,Drechterland,Noord-Holland
2021-04-17,17750,738.0281690140846,1310,Brielle,Zuid-Holland
2021-04-17,67281,981.8522316850225,6606,Capelle aan den IJssel,Zuid-Holland
2021-04-17,104638,743.8024427072384,7783,Delft,Zuid-Holland
2021-04-17,119589,1011.7151243007299,12099,Dordrecht,Zuid-Holland
2021-04-17,37858,916.0547308362829,3468,Gorinchem,Zuid-Holland
2021-04-17,74131,887.0782803415575,6576,Gouda,Zuid-Holland
2021-04-17,553769,804.2342565221239,44536,'s-Gravenhage,Zuid-Holland
2021-04-17,18501,1272.9041673423058,2355,Hardinxveld-Giessendam,Zuid-Holland
2021-04-17,40620,704.5790251107828,2862,Hellevoetsluis,Zuid-Holland
2021-04-17,31767,965.7821009223408,3068,Hendrik-Ido-Ambacht,Zuid-Holland
2021-04-17,21943,1084.172629084446,2379,Stede Broec,Noord-Holland
2021-04-17,22295,692.5319578380802,1544,Hillegom,Zuid-Holland
2021-04-17,66160,1159.0084643288997,7668,Katwijk,Zuid-Holland
2021-04-17,29431,1091.7060242601337,3213,Krimpen aan den IJssel,Zuid-Holland
2021-04-17,125304,691.1191981101961,8660,Leiden,Zuid-Holland
2021-04-17,27443,698.538789490945,1917,Leiderdorp,Zuid-Holland
2021-04-17,23005,784.1773527494023,1804,Lisse,Zuid-Holland
2021-04-17,34408,849.8023715415019,2924,Maassluis,Zuid-Holland
2021-04-17,29284,966.3980330555935,2830,Nieuwkoop,Zuid-Holland
2021-04-17,44390,811.2187429601262,3601,Noordwijk,Zuid-Holland
2021-04-17,25534,665.7789613848203,1700,Oegstgeest,Zuid-Holland
2021-04-17,10166,868.581546330907,883,Oudewater,Utrecht
2021-04-17,32151,900.4385555659234,2895,Papendrecht,Zuid-Holland
2021-04-17,47058,1024.2679246886821,4820,Ridderkerk,Zuid-Holland
2021-04-17,656338,979.8457502079722,64311,Rotterdam,Zuid-Holland
2021-04-17,57220,729.465221950367,4174,Rijswijk,Zuid-Holland
2021-04-17,79759,1000.8901816722878,7983,Schiedam,Zuid-Holland
2021-04-17,25942,1113.2526405057436,2888,Sliedrecht,Zuid-Holland
2021-04-17,25990,969.21893035783,2519,Albrandswaard,Zuid-Holland
2021-04-17,14950,618.0602006688963,924,Westvoorne,Zuid-Holland
2021-04-17,74119,975.8631390061927,7233,Vlaardingen,Zuid-Holland
2021-04-17,25560,603.2863849765258,1542,Voorschoten,Zuid-Holland
2021-04-17,31451,799.6566086928873,2515,Waddinxveen,Zuid-Holland
2021-04-17,27252,645.0902686041392,1758,Wassenaar,Zuid-Holland
2021-04-17,52951,804.7062378425336,4261,Woerden,Utrecht
2021-04-17,125840,756.0394151303242,9514,Zoetermeer,Zuid-Holland
2021-04-17,9320,722.1030042918455,673,Zoeterwoude,Zuid-Holland
2021-04-17,44728,1021.0606331604365,4567,Zwijndrecht,Zuid-Holland
2021-04-17,22837,505.3203135262951,1154,Borsele,Zeeland
2021-04-17,39079,544.0262033317126,2126,Goes,Zeeland
2021-04-17,19673,814.3140344634779,1602,West Maas en Waal,Gelderland
2021-04-17,27552,541.5214866434378,1492,Hulst,Zeeland
2021-04-17,13006,605.874211902199,788,Kapelle,Zeeland
2021-04-17,49248,590.8869395711502,2910,Middelburg,Zeeland
2021-04-17,22916,961.7734334089719,2204,Reimerswaal,Zeeland
2021-04-17,54509,629.6207965657047,3432,Terneuzen,Zeeland
2021-04-17,26442,795.7038045533621,2104,Tholen,Zeeland
2021-04-17,21816,539.5122845617896,1177,Veere,Zeeland
2021-04-17,44541,626.3891695291978,2790,Vlissingen,Zeeland
2021-04-17,45063,752.2801411357433,3390,De Ronde Venen,Utrecht
2021-04-17,32287,524.9790937529036,1695,Tytsjerksteradiel,Friesland
2021-04-17,17071,800.1874524046628,1366,Asten,Noord-Brabant
2021-04-17,6953,616.9998561771897,429,Baarle-Nassau,Noord-Brabant
2021-04-17,67959,839.9181859650671,5708,Bergen op Zoom,Noord-Brabant
2021-04-17,30658,842.1945332376541,2582,Best,Noord-Brabant
2021-04-17,11060,740.5063291139242,819,Boekel,Noord-Brabant
2021-04-17,28662,962.2496685506943,2758,Boxmeer,Noord-Brabant
2021-04-17,33116,862.1210291097958,2855,Boxtel,Noord-Brabant
2021-04-17,184841,712.5583609696982,13171,Breda,Noord-Brabant
2021-04-17,32597,884.7439948461515,2884,Deurne,Noord-Brabant
2021-04-17,12188,695.7663275352805,848,Pekela,Groningen
2021-04-17,26604,958.878364155766,2551,Dongen,Noord-Brabant
2021-04-17,19852,1027.6042716099134,2040,Eersel,Noord-Brabant
2021-04-17,238657,775.1710613977382,18500,Eindhoven,Noord-Brabant
2021-04-17,44165,692.177063285407,3057,Etten-Leur,Noord-Brabant
2021-04-17,21924,846.1047254150702,1855,Geertruidenberg,Noord-Brabant
2021-04-17,26545,806.178187982671,2140,Gilze en Rijen,Noord-Brabant
2021-04-17,24010,834.652228238234,2004,Goirle,Noord-Brabant
2021-04-17,28662,420.7661712371782,1206,Grave,Noord-Brabant
2021-04-17,93676,966.7364106067723,9056,Helmond,Noord-Brabant
2021-04-17,156697,855.9832032521363,13413,'s-Hertogenbosch,Noord-Brabant
2021-04-17,45576,896.3050728453572,4085,Heusden,Noord-Brabant
2021-04-17,15819,895.7582653770781,1417,Hilvarenbeek,Noord-Brabant
2021-04-17,23782,938.5249348246573,2232,Loon op Zand,Noord-Brabant
2021-04-17,28662,367.0364943130277,1052,Mill en Sint Hubert,Noord-Brabant
2021-04-17,23822,848.4246614073518,2021.117228,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
2021-04-17,19083,1031.2843892469737,1968,Oirschot,Noord-Brabant
2021-04-17,32534,815.4546013401365,2653,Oisterwijk,Noord-Brabant
2021-04-17,56578,754.5335642829368,4269,Oosterhout,Noord-Brabant
2021-04-17,93456,921.5031672658791,8612,Oss,Noord-Brabant
2021-04-17,23361,821.8826248876331,1920,Rucphen,Noord-Brabant
2021-04-17,29743,894.6642907574892,2661,Sint-Michielsgestel,Noord-Brabant
2021-04-17,19742,948.2321953196231,1872,Someren,Noord-Brabant
2021-04-17,17812,712.4410509768696,1269,Son en Breugel,Noord-Brabant
2021-04-17,24328,782.6372903650115,1904,Steenbergen,Noord-Brabant
2021-04-17,17347,910.2438461981899,1579,Waterland,Noord-Holland
2021-04-17,225050,872.3839146856254,19633,Tilburg,Noord-Brabant
2021-04-17,28662,1181.3551043193079,3386,Uden,Noord-Brabant
2021-04-17,31275,929.816147082334,2908,Valkenswaard,Noord-Brabant
2021-04-17,45888,939.4612970711297,4311,Veldhoven,Noord-Brabant
2021-04-17,31853,861.4573195617368,2744,Vught,Noord-Brabant
2021-04-17,17727,737.8575055000847,1308,Waalre,Noord-Brabant
2021-04-17,49357,867.1515691796502,4280,Waalwijk,Noord-Brabant
2021-04-17,22099,747.0926286257297,1651,Woensdrecht,Noord-Brabant
2021-04-17,22202,599.0451310692731,1330,Zundert,Noord-Brabant
2021-04-17,16374,834.2494198118969,1366,Wormerland,Noord-Holland
2021-04-17,37026,780.2625182304326,2889,Landgraaf,Limburg
2021-04-17,15809,725.5360870390284,1147,Beek,Limburg
2021-04-17,13396,862.1976709465512,1155,Beesel,Limburg
2021-04-17,13079,997.7827050997782,1305,Bergen (L.),Limburg
2021-04-17,27684,795.7665077300968,2203,Brunssum,Limburg
2021-04-17,17199,884.9351706494564,1522,Gennep,Limburg
2021-04-17,86900,685.6156501726123,5958,Heerlen,Limburg
2021-04-17,45255,705.115456855596,3191,Kerkrade,Limburg
2021-04-17,120922,655.6292486065397,7928,Maastricht,Limburg
2021-04-17,18541,628.8765438757349,1166,Meerssen,Limburg
2021-04-17,8000,653.75,523,Mook en Middelaar,Limburg
2021-04-17,17339,1159.8131380125728,2011,Nederweert,Limburg
2021-04-17,59150,847.3372781065088,5012,Roermond,Limburg
2021-04-17,10420,693.8579654510557,723,Simpelveld,Limburg
2021-04-17,24817,766.00717250272,1901,Stein,Limburg
2021-04-17,10084,573.1852439508132,578,Vaals,Limburg
2021-04-17,102182,1063.1030905638959,10863,Venlo,Limburg
2021-04-17,44001,1092.9297061430423,4809,Venray,Limburg
2021-04-17,12403,670.8054502942837,832,Voerendaal,Limburg
2021-04-17,50356,1045.952815950433,5267,Weert,Limburg
2021-04-17,16149,648.3373583503623,1047,Valkenburg aan de Geul,Limburg
2021-04-17,81341,612.3603102986194,4981,Lelystad,Flevoland
2021-04-17,43080,1123.4911792014857,4840,Horst aan de Maas,Limburg
2021-04-17,39346,851.166573476338,3349,Oude IJsselstreek,Gelderland
2021-04-17,37949,861.9462963450947,3271,Teylingen,Zuid-Holland
2021-04-17,50003,711.3573185608864,3557,Utrechtse Heuvelrug,Utrecht
2021-04-17,29624,807.4534161490683,2392,Oost Gelre,Gelderland
2021-04-17,23030,1025.184541901867,2361,Koggenland,Noord-Holland
2021-04-17,64167,863.3721383265541,5540,Lansingerland,Zuid-Holland
2021-04-17,35938,945.2390227614225,3397,Leudal,Limburg
2021-04-17,24021,880.0632779651138,2114,Maasgouw,Limburg
2021-04-17,31107,737.4545922139711,2294,Gemert-Bakel,Noord-Brabant
2021-04-17,30767,788.5071667695908,2426,Halderberge,Noord-Brabant
2021-04-17,16485,854.7164088565362,1409,Heeze-Leende,Noord-Brabant
2021-04-17,22952,899.7037295224818,2065,Laarbeek,Noord-Brabant
2021-04-17,13309,1049.6656397926215,1397,Reusel-De Mierden,Noord-Brabant
2021-04-17,20549,819.0179570782033,1683,Roerdalen,Limburg
2021-04-17,77208,853.4089731634027,6589,Roosendaal,Noord-Brabant
2021-04-17,34175,479.00512070226773,1637,Schouwen-Duiveland,Zeeland
2021-04-17,25563,483.511324961859,1236,Aa en Hunze,Drenthe
2021-04-17,25686,514.2879389550728,1321,Borger-Odoorn,Drenthe
2021-04-17,28662,757.7977810341218,2172,Cuijk,Noord-Brabant
2021-04-17,28662,566.6038657455865,1624,Landerd,Noord-Brabant
2021-04-17,24485,651.4192362671023,1595,De Wolden,Drenthe
2021-04-17,7678,573.0659025787966,440,Noord-Beveland,Zeeland
2021-04-17,24536,679.8174111509618,1668,Wijdemeren,Noord-Holland
2021-04-17,31280,461.31713554987215,1443,Noordenveld,Drenthe
2021-04-17,33723,1135.130326483409,3828,Twenterand,Overijssel
2021-04-17,19839,420.8881496043147,835,Westerveld,Drenthe
2021-04-17,28662,341.56723187495635,979,Sint Anthonis,Noord-Brabant
2021-04-17,46989,677.3925812424185,3183,Lingewaard,Gelderland
2021-04-17,20632,1079.8759208995737,2228,Cranendonck,Noord-Brabant
2021-04-17,44785,592.1625544267054,2652,Steenwijkerland,Overijssel
2021-04-17,37312,739.4403945111493,2759,Moerdijk,Noord-Brabant
2021-04-17,31777,779.4946030147592,2477,Echt-Susteren,Limburg
2021-04-17,23145,539.2093324692158,1248,Sluis,Zeeland
2021-04-17,27581,746.890975671658,2060,Drimmelen,Noord-Brabant
2021-04-17,31785,961.4598080855749,3056,Bernheze,Noord-Brabant
2021-04-17,10444,665.4538490999618,695,Alphen-Chaam,Noord-Brabant
2021-04-17,18869,1040.8606709417563,1964,Bergeijk,Noord-Brabant
2021-04-17,20737,1162.173892076964,2410,Bladel,Noord-Brabant
2021-04-17,14161,701.9278299555117,994,Gulpen-Wittem,Limburg
2021-04-17,34330,387.4162540052432,1330,Tynaarlo,Drenthe
2021-04-17,33729,522.3991224169113,1762,Midden-Drenthe,Drenthe
2021-04-17,48233,593.1623577218916,2861,Overbetuwe,Gelderland
2021-04-17,35104,868.5619872379216,3049,Hof van Twente,Overijssel
2021-04-17,25050,932.5349301397205,2336,Neder-Betuwe,Gelderland
2021-04-17,38261,1027.4169519876637,3931,Rijssen-Holten,Overijssel
2021-04-17,40174,910.5391546771543,3658,Geldrop-Mierlo,Noord-Brabant
2021-04-17,18534,585.9501456782131,1086,Olst-Wijhe,Overijssel
2021-04-17,26594,993.833195457622,2643,Dinkelland,Overijssel
2021-04-17,112616,1042.1254528663778,11736,Westland,Zuid-Holland
2021-04-17,19466,875.8861604849482,1705,Midden-Delfland,Zuid-Holland
2021-04-17,43790,738.2964147065541,3233,Berkelland,Gelderland
2021-04-17,36110,721.9606757130989,2607,Bronckhorst,Gelderland
2021-04-17,91724,702.1063189568706,6440,Sittard-Geleen,Limburg
2021-04-17,27916,793.81000143287,2216,Kaag en Braassem,Zuid-Holland
2021-04-17,18958,669.3744065829729,1269,Dantumadiel,Friesland
2021-04-17,45877,872.3325413605946,4002,Zuidplas,Zuid-Holland
2021-04-17,44374,914.7248388696083,4059,Peel en Maas,Limburg
2021-04-17,38531,635.3325893436454,2448,Oldambt,Groningen
2021-04-17,23039,916.706454273189,2112,Zwartewaterland,Overijssel
2021-04-17,90307,752.5440995714617,6796,Súdwest-Fryslân,Friesland
2021-04-17,35818,960.9693450220559,3442,Bodegraven-Reeuwijk,Zuid-Holland
2021-04-17,25847,687.1203621310017,1776,Eijsden-Margraten,Limburg
2021-04-17,65190,749.3480595183311,4885,Stichtse Vecht,Utrecht
2021-04-17,48755,797.0464567736642,3886,Hollands Kroon,Noord-Holland
2021-04-17,76727,708.616262854015,5437,Leidschendam-Voorburg,Zuid-Holland
2021-04-17,51042,733.1217428784138,3742,Goeree-Overflakkee,Zuid-Holland
2021-04-17,56701,796.6349799827163,4517,Pijnacker-Nootdorp,Zuid-Holland
2021-04-17,86306,855.3287141102589,7382,Nissewaard,Zuid-Holland
2021-04-17,57151,939.7910797711326,5371,Krimpenerwaard,Zuid-Holland
2021-04-17,51682,569.4439069695445,2943,De Fryske Marren,Friesland
2021-04-17,58973,732.0299119936243,4317,Gooise Meren,Noord-Holland
2021-04-17,34979,750.7361559793019,2626,Berg en Dal,Gelderland
2021-04-17,82681,869.3653922908528,7188,Meierijstad,Noord-Brabant
2021-04-17,46399,550.2273755899911,2553,Waadhoeke,Friesland
2021-04-17,26657,752.5227895111979,2006,Westerwolde,Groningen
2021-04-17,60897,535.0017242228681,3258,Midden-Groningen,Groningen
2021-04-17,35931,756.17155102836,2717,Beekdaelen,Limburg
2021-04-17,36365,692.6990237866081,2519,Montferland,Gelderland
2021-04-17,57056,1033.545989904655,5897,Altena,Noord-Brabant
2021-04-17,52009,945.6055682670307,4918,West Betuwe,Gelderland
2021-04-17,58957,903.7094831826585,5328,Vijfheerenlanden,Utrecht
2021-04-17,88832,811.0815922190202,7205,Hoeksche Waard,Zuid-Holland
2021-04-17,48001,606.0290410616445,2909,Het Hogeland,Groningen
2021-04-17,64331,418.6162192411124,2693,Westerkwartier,Groningen
2021-04-17,45612,603.349995615189,2752,Noardeast-Fryslân,Friesland
2021-04-17,44692,1038.6646379665265,4642,Molenlanden,Zuid-Holland
2021-04-17,45568,538.575885483575,2454.182595,Eemsdelta,Groningen
